id,Batch_Log_ID,prod
7177,AFZ8Q1G5JM,JPA
7178,AFZ8PV0CI4,JPB
7179,AFZ8PUNI8N,JPC
7180,AFZ8PTK3XM,JPD
7181,AFZ8PGUUUW,JPE
7182,AFZ8PE93FY,JPF
7183,AFZ8P6J24N,JPG
7184,AFZ8P06ZW1,JPH
7185,AFZ8NW0XJP,JPI
7186,AFZ8NQAAMB,JPJ
7187,AFZ8NQ37HN,JPK
7188,AFZ8NLJ7U0,JPL
7189,AFZ88VLY00,JPM
7190,AFZ88TLXIE,JPN
7191,AFZ88NM0X9,JPO
7192,AFZ88NI0C1,JPP
7193,AFZ88EPV6L,JPQ
7194,AFZ88DYWMC,JPR
7195,AFZ881M3KX,JPS
7196,AFZ87W489A,JPT
7197,AFZ87W3W58,JPU
7198,AFZ87NZ5S7,JPV
7199,AFZ87HAMI1,JPW
7200,AFZ87B95I9,JPX
7201,AFZ87AYR0E,JPY
7202,AFZ87AWU95,JPZ
7203,AFZ87APNCP,JQA
7204,AFZ87AFCSF,JQB
7205,AFZ873S4ZA,JQC
7206,AFZ86XPP3M,JQD
7207,AFZ86XL41X,JQE
7208,AFZ86QDH4C,JQF
7209,AFZ86Q0B1B,JQG
7210,AFZ86CSMDY,JQH
7211,AFZ86C0HXQ,JQI
7212,AFZ86B0JGA,JQJ
7213,AFZ86A722K,JQK
7214,AFZ866BGLX,JQL
7215,AFZ85YZVAH,JQM
7216,AFZ85Y2DYT,JQN
7217,AFZ85TCDMK,JQO
7218,AFZ85T4EPI,JQP
7219,AFZ85SNYVN,JQQ
7220,AFZ85F0QJY,JQR
7221,AFZ855XL2F,JQS
7222,AFZ85058AP,JQT
7223,AFZ84Z727Y,JQU
7224,AFZ84U7IDV,JQV
7225,AFZ84M7QI2,JQW
7226,AFZ7Q05H6H,JQX
7227,AFZ7PXPAE8,JQY
7228,AFZ7PSXAG4,JQZ
7229,AFZ7PRSF29,JRA
7230,AFZ7PFST5N,JRB
7231,AFZ7PDS4ZQ,JRC
7232,AFZ7P8XAMQ,JRD
7233,AFZ7P5AB5N,JRE
7234,AFZ7P0PRSH,JRF
7235,AFZ7NZ62WP,JRG
7236,AFZ7NYWYHY,JRH
7237,AFZ7NF7AQS,JRI
7238,AFZ7NDZCNJ,JRJ
7239,AFZ7NAKC0R,JRK
7240,AFZ7N9L6WN,JRL
7241,AFZ7N9ISGV,JRM
7242,AFZ7N92FRK,JRN
7243,AFZ7N90EGC,JRO
7244,AFZ7MPVBJ4,JRP
7245,AFZ7MPDQJP,JRQ
7246,AFZ7MI4BPD,JRR
7247,AFZ7MASXNP,JRS
7248,AFZ7MAQDCF,JRT
7249,AFZ7M9XA5I,JRU
7250,AFZ7M9V0VN,JRV
7251,AFZ7M4AD31,JRW
7252,AFZ7M25DLP,JRX
7253,AFZ7LVKWC8,JRY
7254,AFZ7LRVEM3,JRZ
7255,AFZ7LRH20E,JSA
7256,AFZ7LQYBQP,JSB
7257,AFZ7LQL24U,JSC
7258,AFZ7LBL569,JSD
7259,AFZ7KYW3IW,JSE
7260,AFZ7KX82DN,JSF
7261,AFZ7KS6DN9,JSG
7262,AFZ7KM1Q0R,JSH
7263,AFZ75WNA7B,JSI
7264,AFZ75WDN4E,JSJ
7265,AFZ75W3UAW,JSK
7266,AFZ75QS4TP,JSL
7267,AFZ75ID1XV,JSM
7268,AFZ754TA6X,JSN
7269,AFZ74LEJW9,JSO
7270,AFZ74DZLK6,JSP
7271,AFZ74CBCKY,JSQ
7272,AFZ748YB20,JSR
7273,AFZ7489MHA,JSS
7274,AFZ747V5I4,JST
7275,AFZ73UEYW9,JSU
7276,AFZ73F9IML,JSV
7277,AFZ73AAD3S,JSW
7278,AFZ739CW4Z,JSX
7279,AFZ737R2IH,JSY
7280,AFZ737EA65,JSZ
7281,AFZ7349X76,JTA
7282,AFZ73103ES,JTB
7283,AFZ72VHI38,JTC
7284,AFZ72P7DK0,JTD
7285,AFZ72P3DT6,JTE
7286,AFZ72GNUT5,JTF
7287,AFZ725CYZ5,JTG
7288,AFZ71VYTT9,JTH
7289,AFZ71SD5Z9,JTI
7290,AFZ71Q385A,JTJ
7291,AFZ71PBG40,JTK
7292,AFZ6LVBMR7,JTL
7293,AFZ6LV27JX,JTM
7294,AFZ6LQXSBT,JTN
7295,AFZ6LPSMT9,JTO
7296,AFZ6LPQTWE,JTP
7297,AFZ6LCISH6,JTQ
7298,AFZ6L9GA43,JTR
7299,AFZ6KZ70YY,JTS
7300,AFZ6KXQTMD,JTT
7301,AFZ6KW7FVR,JTU
7302,AFZ6KP9WAV,JTV
7303,AFZ6KD2C78,JTW
7304,AFZ6KD0XFN,JTX
7305,AFZ6KC0AF0,JTY
7306,AFZ6K7QZVV,JTZ
7307,AFZ6K6XNQY,JUA
7308,AFZ6K6V7H1,JUB
7309,AFZ6K5VIBV,JUC
7310,AFZ6JFH3ZX,JUD
7311,AFZ6J7MFM8,JUE
7312,AFZ6J718R6,JUF
7313,AFZ6J1M5AS,JUG
7314,AFZ6IVX50L,JUH
7315,AFZ6IVB0MI,JUI
7316,AFZ6ISU5S7,JUJ
7317,AFZ6ISMSR1,JUK
7318,AFZ6HVKL8D,JUL
7319,AFZ61J9R46,JUM
7320,AFZ616PA5M,JUN
7321,AFZ5Z2VDW0,JUO
7322,AFZ5YHQZZU,JUP
7323,AFZ5IMA54I,JUQ
7324,AFZ5IKSYE0,JUR
7325,AFZ5I9L61T,JUS
7476,AFZ2TDLF0W,KAN
7477,AFZ2T0N193,KAO
7478,AFZ2SWKT3S,KAP
7479,AFZ2SWER1L,KAQ
7480,AFZ2SLAGDR,KAR
7481,AFZ2SICPFH,KAS
7482,AFZ2SHXR3F,KAT
7483,AFZ2SHTBVB,KAU
7484,AFZ2SFA40A,KAV
7485,AFZ2SBBYSC,KAW
7486,AFZ2S8HHBK,KAX
7487,AFZ2RXPU82,KAY
7488,AFZ2RWCUV3,KAZ
7489,AFZ2RVYWPC,KBA
7490,AFZ2RRRKW2,KBB
7491,AFZ2RR85H8,KBC
7492,AFZ2RJ8EV3,KBD
7493,AFZ2RIAJBR,KBE
7494,AFZ2R4HE76,KBF
7495,AFZ2R3TXG7,KBG
7496,AFZ2QS15HM,KBH
7497,AFZ2QR1W7V,KBI
7498,AFZ2QPUVP3,KBJ
7499,AFZ2QJM3B1,KBK
7500,AFZ2QI194W,KBL
7501,AFZ2QHYLT6,KBM
7502,AFZ2QF3BGI,KBN
7503,AFZ2QBIL0P,KBO
7504,AFZ2QBDN7J,KBP
7505,AFZ2PY2G4S,KBQ
7506,AFZ2PK4DGH,KBR
7507,AFZ2PFY1K7,KBS
7508,AFZ2P9MRRR,KBT
7509,AFZ29KW9DK,KBU
7510,AFZ29JLPZT,KBV
7511,AFZ29IRCY0,KBW
7512,AFZ29DVFI7,KBX
7513,AFZ29DLQUF,KBY
7514,AFZ28YL3ZD,KBZ
7515,AFZ28ULEGW,KCA
7516,AFZ28UBUCL,KCB
7517,AFZ28KD1P9,KCC
7518,AFZ28G3Q0I,KCD
7519,AFZ28FRNFK,KCE
7520,AFZ28FP9YX,KCF
7521,AFZ28F1JS8,KCG
7522,AFZ28D391H,KCH
7523,AFZ289JJA0,KCI
7524,AFZ2828U5A,KCJ
7525,AFZ281X265,KCK
7526,AFZ27W0VFE,KCL
7527,AFZ27VPLSH,KCM
7528,AFZ27VJY6B,KCN
7529,AFZ27UZ2AJ,KCO
7530,AFZ27UYEK2,KCP
7531,AFZ27N0PE1,KCQ
7532,AFZ27IK8H1,KCR
7533,AFZ27GD8C8,KCS
7534,AFZ27AATDK,KCT
7535,AFZ273ST9J,KCU
7536,AFZ271QMI1,KCV
7537,AFZ26XSVQS,KCW
7538,AFZ26VXCYT,KCX
7539,AFZ26P4VZR,KCY
7540,AFZ26D71M5,KCZ
7541,AFZ26C4MG9,KDA
7542,AFZ26BT0BT,KDB
7543,AFZ25ZE76D,KDC
7544,AFZ25R8SF2,KDD
7545,AFZ25J457B,KDE
7546,AFZ25DG54S,KDF
7547,AFZ1QI4XN3,KDG
7548,AFZ1Q5ECGI,KDH
7549,AFZ1Q3VTQI,KDI
7550,AFZ1PZUAG2,KDJ
7551,AFZ1PK8GR9,KDK
7552,AFZ1PII8S5,KDL
7553,AFZ1P8IA5X,KDM
7554,AFZ1NYM831,KDN
7555,AFZ1NU860Q,KDO
7556,AFZ1NSYUA6,KDP
7557,AFZ1NSUISY,KDQ
7558,AFZ1N06I7D,KDR
7559,AFZ1MW0E7S,KDS
7560,AFZ1MFXF12,KDT
7561,AFZ1MA6R9G,KDU
7562,AFZ1M5249U,KDV
7563,AFZ1LP75ML,KDW
7564,AFZ1LJCFWI,KDX
7565,AFZ16GEK2I,KDY
7566,AFZ1695A1Z,KDZ
7567,AFZ15XXCBC,KEA
7568,AFZ15H3BBI,KEB
7569,AFZ15E94ZG,KEC
7570,AFZ15DXGQQ,KED
7571,AFZ14YX17J,KEE
7572,AFZ14Y701V,KEF
7573,AFZ14X9FF6,KEG
7574,AFZ14T9LCC,KEH
7575,AFZ14QHUQH,KEI
7576,AFZ14KMNWP,KEJ
7577,AFZ14FBHQ9,KEK
7578,AFZ14EDC2I,KEL
7579,AFZ140ZKL1,KEM
7580,AFZ13UVYXR,KEN
7581,AFZ13UV3F6,KEO
7582,AFZ13SBGHN,KEP
7583,AFZ13P53G3,KEQ
7584,AFZ13NEIFG,KER
7585,AFZ13DQSY6,KES
7586,AFZ13ARAZ6,KET
7587,AFZ139T6ZA,KEU
7588,AFZ139H21P,KEV
7589,AFZ12W75G8,KEW
7590,AFZ12U7YZ7,KEX
7591,AFZ12GTCTQ,KEY
7592,AFZ12CFBUG,KEZ
7593,AFZ12C5KPW,KFA
7594,AFZ12BJJ97,KFB
7595,AFZ0MB1F02,KFC
7596,AFZ0MAB6PU,KFD
7597,AFZ0M7MBRV,KFE
7598,AFZ0LVKDJS,KFF
7599,AFZ0LUPRUN,KFG
7600,AFZ0LIE29R,KFH
7601,AFZ0LGG0TP,KFI
7602,AFZ0L5XC2T,KFJ
7603,AFZ0L5KDKG,KFK
7604,AFZ0L594SM,KFL
7605,AFZ0L4445T,KFM
7606,AFZ0KXEH7B,KFN
7607,AFZ0KW2ZDB,KFO
7608,AFZ0KQMZZG,KFP
7609,AFZ0KKCFS0,KFQ
7610,AFZ0KDT7AG,KFR
7611,AFZ0KDERFZ,KFS
7612,AFZ0JUADHB,KFT
7613,AFZ0JTYWLX,KFU
7614,AFZ0JS10SH,KFV
7615,AFZ0JLY202,KFW
